County ID,Recipe File No.
48081,18
48091,18
37097,19
72149,19
53041,19
54007,19
72031,19
37087,19
72021,19
54017,19
53051,19
45021,19
42067,19
39143,19
18133,19
42077,19
45031,19
18123,19
39153,19
46119,19
46061,19
41027,19
46109,20
41037,20
46071,20
50001,20
50011,20
28051,20
72105,20
28129,20
28041,20
72115,20
28139,20
39077,20
18007,20
18017,20
39067,20
05001,20
47189,20
05011,20
23027,20
51081,20
13119,21
13061,21
35057,21
32011,21
13109,21
51091,21
32001,21
35047,21
13071,21
36123,21
17153,21
31165,21
13307,21
31175,21
17143,21
13317,21
20143,21
27105,21
01133,21
19087,21
01123,22
19097,22
27115,22
20153,22
01029,22
20059,22
27167,22
38095,22
20121,22
20049,22
01039,22
38085,22
20131,22
06107,22
17131,22
31107,22
17049,22
36039,22
31117,22
17121,22
36029,23
17059,23
13003,23
35035,23
35025,23
13013,23
24013,23
05063,23
47083,23
05073,23
24003,23
47093,23
42131,23
42049,23
.DS_S,23
18065,23
39015,23
42121,23
39005,23
42059,23
18075,24
54029,24
28033,24
28023,24
54039,24
02282,24
12083,24
12093,24
41045,24
46003,24
46013,24
41055,24
22031,24
04007,24
21223,24
04017,24
22021,24
29186,24
21233,24
48133,24
33017,25
12067,25
48123,25
34041,25
12077,25
33007,25
48255,25
37125,25
02100,25
37135,25
02068,25
48245,25
02110,25
26103,25
18081,25
21145,25
21155,25
18091,25
26113,25
05087,25
40021,26
47067,26
05097,26
40149,26
47077,26
40031,26
56041,26
51007,26
51017,26
29057,26
08027,26
55135,26
08037,26
29047,26
55125,26
19179,26
19001,26
38071,26
19169,26
38061,26
19011,27
27099,27
44009,27
38013,27
19063,27
27089,27
19073,27
38003,27
08045,27
29035,27
31181,27
29025,27
08055,27
51065,27
56023,27
13085,27
56033,27
51075,27
13095,27
51630,27
47005,28
40043,28
51620,28
40053,28
47015,28
26019,28
45089,28
21127,28
39093,28
26161,28
26009,28
21137,28
39083,28
37147,28
48237,28
72099,28
30101,28
30079,28
30111,28
48227,28
72089,29
37157,29
30069,29
48151,29
48029,29
12005,29
34033,29
48141,29
34023,29
48039,29
12015,29
22053,29
25015,29
46085,29
25005,29
22043,29
46095,29
48177,29
34015,29
12023,29
48167,30
12033,30
34005,30
22075,30
22065,30
25023,30
21079,30
26147,30
21101,30
21069,30
21111,30
26157,30
28093,30
48211,30
54089,30
37161,30
16069,30
48369,30
37019,30
37171,30
54099,31
28083,31
48201,31
37009,31
48379,31
16079,31
56005,31
51043,31
51053,31
56015,31
40065,31
47023,31
47033,31
40075,31
51570,31
01089,31
19045,31
20181,31
38035,31
01099,31
20191,32
38025,32
19055,32
29013,32
17191,32
55009,32
08063,32
36099,32
08073,32
55019,32
17181,32
29003,32
36089,32
08001,32
29071,32
55113,32
29109,32
29061,32
08011,32
29119,32
55103,33
38057,33
19027,33
19037,33
38047,33
47139,33
47041,33
40007,33
47129,33
40017,33
47051,33
51021,33
51159,33
51031,33
51149,33
37103,33
48273,33
48263,33
37113,33
21163,33
26125,34
26135,34
21173,34
04021,34
22017,34
21205,34
22007,34
21215,34
48115,34
12041,34
02240,34
15007,34
48105,34
12129,34
12051,34
48089,34
48099,34
46025,34
41063,34
46035,34
42117,35
39033,35
21187,35
45029,35
18043,35
42107,35
18053,35
45039,35
39023,35
21197,35
53049,35
72039,35
48297,35
28015,35
72141,35
72029,35
48287,35
28005,35
53059,35
72151,35
48503,36
35013,36
13025,36
49009,36
13035,36
49019,36
35003,36
05045,36
51690,36
24035,36
02013,36
24025,36
51680,36
05055,36
06049,36
27039,36
20107,36
27141,36
27029,36
06059,36
27151,37
20117,37
31121,37
29095,37
17117,37
31059,37
17107,37
31131,37
29085,37
31049,37
31143,37
13259,37
17175,37
08087,37
36105,37
13321,37
36115,37
08097,37
17165,37
31153,37
13249,38
01115,38
27123,38
20165,38
20175,38
27133,38
01105,38
05027,38
23011,38
20203,38
40081,38
23001,38
05037,38
24047,38
40091,38
48419,38
13047,38
48409,38
17203,38
13057,38
35061,39
32027,39
28077,39
09007,39
37185,39
72123,39
37195,39
28067,39
72133,39
54105,39
18159,39
39129,39
18021,39
39051,39
39139,39
18149,39
39041,39
18031,39
22091,39
41001,39
46047,40
22081,40
46057,40
41011,40
50027,40
48193,40
48183,40
24001,40
05071,40
47091,40
05109,40
05061,40
24011,40
05119,40
47081,40
13169,40
51810,40
13011,40
35027,40
13179,40
35037,41
51199,41
13001,41
51800,41
17123,41
31115,41
31105,41
17133,41
06105,41
38087,41
20133,41
38097,41
20123,41
06115,41
27165,41
41057,41
46011,41
41047,41
02290,41
12091,41
12081,42
28021,42
28159,42
28031,42
28149,42
51775,42
42123,42
18077,42
39007,42
42133,42
39017,42
18067,42
39065,42
42039,42
18015,42
42029,42
18005,42
39075,42
54059,42
28043,42
72117,43
28053,43
54049,43
72107,43
50013,43
50003,43
46073,43
41035,43
41025,43
46063,43
20029,43
01059,43
20151,43
27117,43
01121,43
19095,43
01049,43
20039,43
01131,43
19085,43
27107,44
20141,44
17141,44
31177,44
36049,44
13315,44
17039,44
31167,44
17151,44
36121,44
17029,44
13305,44
36059,44
51093,44
13073,44
35045,44
32003,44
51083,44
32013,44
35055,44
13063,45
23025,45
05013,45
05003,45
40129,45
47017,45
40051,45
40139,45
40041,45
47007,45
51077,45
56031,45
13097,45
56021,45
51067,45
13087,45
29229,45
08057,45
13289,45
29027,45
13299,46
29037,46
31183,46
08047,46
19109,46
38001,46
19071,46
19119,46
19061,46
38011,46
22041,46
25007,46
46097,46
25017,46
22051,46
46087,46
48143,46
12017,46
34021,46
48153,46
34031,47
12007,47
37155,47
48225,47
02170,47
30103,47
48235,47
37145,47
21135,47
39081,47
26163,47
21125,47
39091,47
26069,47
26111,47
18093,47
21157,47
26079,47
21147,47
18083,47
26101,48
48247,48
37137,48
